2025-04-04 17:40:05,|27.49, 9.09, 55.15, 613.13, 0.0264, 5.74
2025-04-04 17:40:05,|27.49, 9.09, 55.15, 613.13, 0.0264, 5.74
2025-04-04 17:40:05,|26.22, 14.8, 55.33, 613.09, 0.0215, 6.67
2025-04-04 17:40:30,|20.34, 20.7, 57.77, 555.66, 0.0806, 6.41
2025-04-04 17:40:30,|20.34, 20.7, 57.77, 555.66, 0.0806, 6.41
2025-04-04 17:40:30,|25.02, 4.11, 52.59, 610.41, 0.0496, 5.36
2025-04-04 17:43:28,|18.73, 1.27, 50.38, 668.81, 0.0441, 4.08
2025-04-04 17:43:28,|18.73, 1.27, 50.38, 668.81, 0.0441, 4.08
2025-04-04 17:43:28,|25.82, 14.89, 57.24, 702.49, 0.0826, 5.78
2025-04-04 18:12:13,|18.98, 13.59, 58.6, 708.71, 0.0691, 6.93
2025-04-04 18:12:13,|18.98, 13.59, 58.6, 708.71, 0.0691, 6.93
2025-04-04 18:12:13,|26.22, 9.53, 58.4, 656.96, 0.0524, 5.97
2025-04-04 18:12:18,|28.23, 16.34, 57.21, 528.41, 0.0554, 5.48
2025-04-04 18:12:23,|23.51, 6.26, 56.91, 697.83, 0.0939, 4.18
2025-04-04 18:12:28,|22.09, 20.49, 51.06, 662.45, 0.058, 6.75
2025-04-04 18:12:33,|20.82, 18.12, 53.21, 656.86, 0.0295, 5.43
2025-04-04 18:12:38,|28.05, 4.67, 56.35, 551.07, 0.0533, 5.35
2025-04-04 18:12:43,|28.85, 1.83, 57.68, 539.1, 0.0367, 6.26
2025-04-04 18:12:48,|19.26, 5.97, 54.6, 698.36, 0.0873, 4.1
2025-04-04 18:12:53,|18.9, 2.3, 55.18, 661.25, 0.0354, 6.47
2025-04-04 18:12:58,|19.38, 1.59, 51.68, 645.79, 0.057, 5.25
2025-04-04 18:13:03,|21.27, 19.7, 57.34, 571.89, 0.0634, 4.78
2025-04-04 18:13:08,|18.29, 19.11, 56.88, 594.8, 0.0293, 4.64
2025-04-04 18:13:13,|19.97, 13.52, 57.41, 598.45, 0.06, 5.78
2025-04-04 18:13:18,|20.44, 2.68, 51.46, 524.9, 0.0396, 5.21
2025-04-04 18:13:23,|18.97, 11.38, 50.13, 690.09, 0.0432, 6.59
2025-04-04 18:13:28,|21.73, 14.59, 56.78, 590.65, 0.0415, 5.17
2025-04-04 18:13:33,|25.75, 8.26, 55.3, 685.35, 0.0867, 4.1
2025-04-04 18:13:38,|29.99, 6.99, 59.5, 588.8, 0.029, 4.55
2025-04-04 18:13:43,|21.83, 13.74, 53.94, 665.63, 0.0395, 5.1
2025-04-04 18:13:48,|28.83, 15.26, 59.8, 530.39, 0.0845, 4.42
2025-04-04 18:13:53,|22.83, 17.45, 54.95, 540.51, 0.0773, 6.47
2025-04-04 18:13:58,|18.32, 14.41, 52.75, 578.75, 0.0798, 4.94
2025-04-04 18:14:03,|22.44, 14.6, 56.18, 500.36, 0.059, 4.06
2025-04-04 18:14:08,|29.19, 5.25, 51.3, 638.83, 0.0635, 4.57
2025-04-04 18:14:13,|24.54, 0.44, 53.92, 623.75, 0.0647, 5.05
2025-04-04 18:14:18,|24.66, 11.31, 50.86, 618.66, 0.0838, 6.48
2025-04-04 18:14:23,|21.26, 5.04, 50.6, 613.91, 0.0865, 5.17
2025-04-04 18:14:28,|19.09, 6.3, 54.86, 530.71, 0.0364, 6.7
2025-04-04 18:14:33,|23.11, 3.86, 57.24, 634.89, 0.0741, 4.63
2025-04-04 18:14:38,|29.65, 2.74, 55.99, 565.58, 0.0366, 5.21
2025-04-04 18:14:43,|25.98, 9.91, 51.18, 699.77, 0.0732, 5.58
2025-04-04 18:14:48,|18.54, 15.37, 53.56, 580.92, 0.0667, 4.52
2025-04-04 18:14:53,|20.85, 6.05, 51.76, 593.89, 0.0222, 4.84
2025-04-04 18:14:58,|23.16, 19.18, 53.24, 648.38, 0.0629, 6.76
2025-04-04 18:15:03,|25.74, 8.28, 56.48, 581.64, 0.0287, 5.98
2025-04-04 18:15:08,|21.87, 6.41, 59.53, 561.0, 0.0704, 5.35
2025-04-04 18:15:13,|29.57, 6.74, 53.52, 550.75, 0.0425, 6.44
2025-04-04 18:15:18,|23.6, 3.4, 52.53, 594.97, 0.0361, 6.18
2025-04-04 18:15:23,|21.27, 18.78, 57.36, 506.7, 0.0662, 5.79
2025-04-04 18:15:28,|29.11, 3.71, 53.71, 704.47, 0.0227, 6.51
2025-04-04 18:15:33,|21.11, 11.42, 58.29, 500.48, 0.0814, 6.6
2025-04-04 18:15:38,|29.4, 3.82, 55.7, 531.54, 0.0227, 5.37
2025-04-04 18:15:43,|18.56, 15.93, 57.27, 644.55, 0.0644, 6.78
2025-04-04 18:15:48,|19.15, 17.26, 58.72, 513.88, 0.0367, 5.21
2025-04-04 18:15:53,|18.14, 7.98, 55.83, 553.57, 0.0664, 6.74
2025-04-04 18:15:58,|29.83, 18.45, 58.4, 696.03, 0.0672, 4.21
2025-04-04 18:16:03,|21.54, 11.93, 54.91, 622.26, 0.0598, 4.63
2025-04-04 18:16:08,|18.13, 9.72, 55.18, 598.49, 0.0443, 5.0
2025-04-04 18:16:13,|26.56, 9.72, 50.88, 535.58, 0.0373, 4.08
2025-04-04 18:16:18,|18.12, 14.38, 59.4, 522.27, 0.0606, 6.47
2025-04-04 18:16:23,|27.72, 1.45, 56.0, 596.54, 0.0289, 6.09
2025-04-04 18:16:28,|21.39, 19.93, 53.68, 593.44, 0.0321, 6.82
2025-04-04 18:16:33,|21.05, 11.88, 59.94, 504.79, 0.0898, 4.46
2025-04-04 18:16:38,|23.13, 20.62, 50.52, 565.61, 0.0946, 4.18
2025-04-05 16:17:05,|19.77, 8.99, 58.09, 693.88, 0.0857, 5.79
2025-04-05 16:17:05,|19.77, 8.99, 58.09, 693.88, 0.0857, 5.79
2025-04-05 16:17:05,|18.44, 2.69, 54.17, 624.73, 0.0238, 5.89
2025-04-05 16:17:10,|28.44, 3.94, 52.87, 557.86, 0.0635, 6.17
2025-04-05 16:56:16,|24.49, 8.92, 58.01, 517.73, 0.0554, 6.11
2025-04-05 16:56:16,|24.49, 8.92, 58.01, 517.73, 0.0554, 6.11
2025-04-05 16:56:16,|22.24, 0.35, 56.56, 632.64, 0.0902, 4.91
2025-04-05 16:56:21,|22.42, 19.29, 58.54, 619.93, 0.0586, 5.23
2025-04-05 16:56:26,|21.05, 20.25, 55.13, 537.29, 0.0509, 4.43
2025-04-05 16:56:31,|29.87, 18.36, 56.87, 655.18, 0.0401, 6.0
2025-04-05 16:56:45,|26.52, 19.68, 52.29, 664.25, 0.0791, 6.28
2025-04-05 16:56:45,|26.52, 19.68, 52.29, 664.25, 0.0791, 6.28
2025-04-05 16:56:45,|20.74, 18.54, 57.02, 602.23, 0.07, 6.03
2025-04-05 16:56:51,|18.7, 8.07, 57.23, 541.96, 0.0436, 4.66
2025-04-05 16:56:51,|18.7, 8.07, 57.23, 541.96, 0.0436, 4.66
2025-04-05 16:56:51,|29.32, 15.99, 52.52, 576.22, 0.0924, 4.95
